"order","lemma","reflexive_frequency","reflexive_ipm"
633,"vyslovit",506,5.01792131756572
634,"rozbít",501,4.96833711482297
635,"položit",501,4.96833711482297
636,"proplétat",499,4.94850343372587
637,"slyšet",497,4.92866975262878
638,"číst",495,4.90883607153168
639,"uchylovat",495,4.90883607153168
640,"lámat",494,4.89891923098313
641,"míhat",494,4.89891923098313
642,"zaseknout",493,4.88900239043458
643,"zazubit",493,4.88900239043458
644,"zmítat",492,4.87908554988603
645,"vydařit",492,4.87908554988603
646,"zavírat",491,4.86916870933748
647,"potulovat",489,4.84933502824039
648,"tvrdit",486,4.81958450659474
649,"utrhnout",485,4.80966766604619
650,"odtrhnout",484,4.79975082549764
651,"vymlouvat",484,4.79975082549764
652,"chránit",484,4.79975082549764
653,"strhnout",484,4.79975082549764
654,"přiklonit",482,4.77991714440054
655,"podít",482,4.77991714440054
656,"ohlásit",482,4.77991714440054
657,"přiklánět",480,4.76008346330345
658,"kochat",480,4.76008346330345
659,"šetřit",480,4.76008346330345
660,"seznamovat",479,4.7501666227549
661,"slavit",477,4.7303329416578
662,"rozbušit",476,4.72041610110925
663,"setmít",476,4.72041610110925
664,"cpát",475,4.7104992605607
665,"prodlužovat",474,4.70058242001215
666,"rvát",473,4.6906655794636
667,"chytat",473,4.6906655794636
668,"rozpustit",473,4.6906655794636
669,"vdávat",471,4.67083189836651
670,"nakazit",471,4.67083189836651
671,"dodávat",471,4.67083189836651
672,"natahovat",469,4.65099821726941
673,"pobavit",468,4.64108137672086
674,"plánovat",466,4.62124769562376
675,"zdařit",465,4.61133085507521
676,"vžít",465,4.61133085507521
677,"rozlít",463,4.59149717397811
678,"zobrazovat",462,4.58158033342957
679,"zabydlet",461,4.57166349288102
680,"sjet",460,4.56174665233247
681,"vymknout",459,4.55182981178392
682,"zatočit",457,4.53199613068682
683,"rozjíždět",456,4.52207929013827
684,"rozrůstat",456,4.52207929013827
685,"zpívat",455,4.51216244958972
686,"přistěhovat",455,4.51216244958972
687,"věřit",455,4.51216244958972
688,"otřásat",454,4.50224560904118
689,"probojovat",454,4.50224560904118
690,"svíjet",454,4.50224560904118
691,"bojovat",452,4.48241192794408
692,"sblížit",452,4.48241192794408
693,"vinout",451,4.47249508739553
694,"rozlévat",450,4.46257824684698
695,"brodit",449,4.45266140629843
696,"hodnotit",449,4.45266140629843
697,"provést",447,4.43282772520133
698,"prodrat",447,4.43282772520133
699,"překrývat",445,4.41299404410424
700,"schoulit",445,4.41299404410424
701,"předvádět",445,4.41299404410424
702,"převrátit",442,4.38324352245859
703,"vysmát",441,4.37332668191004
704,"uskutečňovat",441,4.37332668191004
705,"zahřát",440,4.36340984136149
706,"rozpouštět",438,4.34357616026439
707,"rozhořet",436,4.3237424791673
708,"pít",434,4.3039087980702
709,"ukrýt",433,4.29399195752165
710,"podřídit",431,4.27415827642455
711,"kousnout",430,4.264241435876
712,"zastat",428,4.24440775477891
713,"stmívat",427,4.23449091423036
714,"rozeznít",426,4.22457407368181
715,"klepat",425,4.21465723313326
716,"uložit",424,4.20474039258471
717,"vybavovat",423,4.19482355203616
718,"tradovat",422,4.18490671148761
719,"vyprávět",421,4.17498987093906
720,"oddávat",419,4.15515618984197
721,"strachovat",419,4.15515618984197
722,"umýt",418,4.14523934929342
723,"bít",416,4.12540566819632
724,"odpoutat",416,4.12540566819632
725,"vzdělávat",415,4.11548882764777
726,"vzpírat",415,4.11548882764777
727,"přinutit",415,4.11548882764777
728,"přátelit",414,4.10557198709922
729,"vyjímat",414,4.10557198709922
730,"vyhoupnout",413,4.09565514655067
731,"obejmout",412,4.08573830600212
732,"chechtat",411,4.07582146545358
733,"srovnat",411,4.07582146545358
734,"šklebit",411,4.07582146545358
735,"ženit",410,4.06590462490503
736,"vysvětlovat",410,4.06590462490503
737,"uchytit",405,4.01632042216228
738,"ochladit",405,4.01632042216228
739,"pást",405,4.01632042216228
740,"ustálit",405,4.01632042216228
741,"bouřit",405,4.01632042216228
742,"choulit",404,4.00640358161373
743,"rozčílit",404,4.00640358161373
744,"osprchovat",402,3.98656990051664
745,"představovat",400,3.96673621941954
746,"zapomínat",398,3.94690253832244
747,"schylovat",397,3.93698569777389
748,"ztotožnit",397,3.93698569777389
749,"formovat",396,3.92706885722534
750,"zorientovat",396,3.92706885722534
751,"naštvat",395,3.91715201667679
752,"vykoupat",394,3.90723517612824
753,"potopit",394,3.90723517612824
