"","lemma","transitive_rank","transitive_frequency","transitive_ipm","reflexive_rank","reflexive_frequency","reflexive_ipm","total_rank","total_frequency","total_ipm","refexivity"
"212","cuchat",3506,73,0.723929360044066,5189,7,0.0694178838398419,6354,88,0.872681968272298,0.0795454545454545
"213","cukat",5437,28,0.277671535359368,2073,73,0.723929360044066,3472,333,3.30230790266677,0.219219219219219
"214","cuknout",9805,4,0.0396673621941954,7168,3,0.0297505216456465,4218,231,2.29079016671478,0.012987012987013
"215","cukrovat",8317,8,0.0793347243883908,5756,5,0.0495842027427442,8369,38,0.376839940844856,0.131578947368421
"216","culit",10303,4,0.0396673621941954,1100,230,2.28087332616623,4186,235,2.33045752890898,0.978723404255319
"217","cumlat",6311,18,0.178503129873879,9894,1,0.00991684054854884,9009,29,0.287588375907917,0.0344827586206897
"218","cupovat",5379,29,0.287588375907917,11355,1,0.00991684054854884,7788,49,0.485925186878893,0.0204081632653061
"219","cvaknout",3139,92,0.912349330466494,5523,6,0.0595010432912931,3638,306,3.03455320785595,0.0196078431372549
"220","cválat",6450,17,0.16858628932533,10854,1,0.00991684054854884,4869,172,1.7056965743504,0.00581395348837209
"221","cvičit",1027,539,5.34517705566783,1015,259,2.56846170207415,936,2394,23.7409162732259,0.108187134502924
"222","cvičívat",11763,2,0.0198336810970977,10969,1,0.00991684054854884,12299,8,0.0793347243883908,0.125
"223","cvokatět",15413,1,0.00991684054854884,9528,1,0.00991684054854884,18152,1,0.00991684054854884,1
"224","cvrnknout",7750,10,0.0991684054854885,9518,1,0.00991684054854884,7691,51,0.505758867975991,0.0196078431372549
"225","čadit",12487,2,0.0198336810970977,9684,1,0.00991684054854884,8705,33,0.327255738102112,0.0303030303030303
"226","čapnout",4715,39,0.386756781393405,7194,3,0.0297505216456465,5719,119,1.18010402527731,0.0252100840336134
"227","čarovat",9440,5,0.0495842027427442,5145,8,0.0793347243883908,4987,164,1.62636184996201,0.0487804878048781
"228","časovat",6137,20,0.198336810970977,7737,2,0.0198336810970977,8790,32,0.317338897553563,0.0625
"229","častovat",4231,49,0.485925186878893,3157,29,0.287588375907917,4624,190,1.88419970422428,0.152631578947368
"230","čechrat",2973,102,1.01151773595198,8359,2,0.0198336810970977,5754,117,1.16027034418021,0.0170940170940171
"231","čekat",32,9830,97.4825425922351,269,1517,15.0438471121486,24,48386,479.836246782084,0.0313520439796635
"232","čekovat",9789,4,0.0396673621941954,9075,1,0.00991684054854884,12440,7,0.0694178838398419,0.142857142857143
"233","čelit",1871,231,2.29079016671478,3973,16,0.158669448776782,710,3343,33.1519979537988,0.00478612025127131
"234","čepovat",4594,42,0.416507303039051,2750,40,0.396673621941954,5670,121,1.19993770637441,0.330578512396694
"235","čepýřit",14747,1,0.00991684054854884,4221,13,0.128918927131135,10272,17,0.16858628932533,0.764705882352941
"236","černat",4315,48,0.476008346330345,2110,70,0.694178838398419,3722,293,2.90563428072481,0.238907849829352
"237","čerpat",497,1294,12.8323916698222,1653,115,1.14043666308312,878,2588,25.6647833396444,0.044435857805255
"238","čertit",12266,2,0.0198336810970977,2458,52,0.51567570852454,7480,56,0.555343070718735,0.928571428571429
"239","červenat",8820,6,0.0595010432912931,901,311,3.08413741059869,3162,393,3.8973183355797,0.791348600508906
"240","čeřit",2894,107,1.06110193869473,2798,39,0.386756781393405,4905,169,1.67594605270475,0.230769230769231
"241","česat",2579,134,1.32885663350555,1938,83,0.823097765529554,3515,326,3.23289001882692,0.254601226993865
